Type(类型)	Name（视图名/表名）	Description（描述）
View	        USER_UPDATABLE_COLUMNS	
View	        USER_USERS	
View	        USER_USTATS	
View	        USER_VARRAYS	
View	        USER_VIEWS	
View	        USER_VIEWS_AE	
View	        USER_WARNING_SETTINGS	
View	        USER_XDS_ATTRIBUTE_SECS	
View	        USER_XDS_INSTANCE_SETS	
View	        USER_XDS_OBJECTS	
View	        USER_XML_COLUMN_NAMES	
View	        USER_XML_INDEXES	
View	        USER_XML_SCHEMAS	
View	        USER_XML_TABLES	
View	        USER_XML_TAB_COLS	
View	        USER_XML_VIEWS	
View	        USER_XML_VIEW_COLS	
List	        all attributes	
List	        all tables	
List	        all indices	
List	        all sequences	
List	        all view	
List	        all trigger	
